"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Mar 08 09:50:38 GMT 2023","Wed Mar 08 09:50:39 GMT 2023","966","webkit","demo-todo-app.spec.ts","Clear completed button","","","should remove completed items when clicked",""
"passed","Wed Mar 08 09:48:35 GMT 2023","Wed Mar 08 09:48:35 GMT 2023","560","chromium","example.spec.ts","","","","has title",""
"failed","Wed Mar 08 09:50:14 GMT 2023","Wed Mar 08 09:50:15 GMT 2023","965","webkit","demo-todo-app.spec.ts","Editing","","","should save edits on blur",""
"failed","Wed Mar 08 09:50:30 GMT 2023","Wed Mar 08 09:50:31 GMT 2023","989","webkit","demo-todo-app.spec.ts","Counter","","","should display the current number of todo items",""
"passed","Wed Mar 08 09:48:47 GMT 2023","Wed Mar 08 09:48:55 GMT 2023","7246","firefox","demo-todo-app.spec.ts","New Todo","","","should allow me to add todo items",""
"failed","Wed Mar 08 09:51:10 GMT 2023","Wed Mar 08 09:51:11 GMT 2023","984","webkit","example.spec.ts","","","","has title",""
"passed","Wed Mar 08 09:48:25 GMT 2023","Wed Mar 08 09:48:25 GMT 2023","529","chromium","demo-todo-app.spec.ts","Mark all as completed","","","should allow me to clear the complete state of all items",""
"passed","Wed Mar 08 09:49:14 GMT 2023","Wed Mar 08 09:49:14 GMT 2023","796","firefox","example.spec.ts","","","","has title",""
"failed","Wed Mar 08 09:51:02 GMT 2023","Wed Mar 08 09:51:03 GMT 2023","965","webkit","demo-todo-app.spec.ts","Routing","","","should allow me to display all items",""
"passed","Wed Mar 08 09:48:34 GMT 2023","Wed Mar 08 09:48:34 GMT 2023","578","chromium","demo-todo-app.spec.ts","Routing","","","should allow me to display all items",""
"failed","Wed Mar 08 09:50:22 GMT 2023","Wed Mar 08 09:50:23 GMT 2023","967","webkit","demo-todo-app.spec.ts","Editing","","","should remove the item if an empty text string was entered",""
"passed","Wed Mar 08 09:48:27 GMT 2023","Wed Mar 08 09:48:27 GMT 2023","516","chromium","demo-todo-app.spec.ts","Item","","","should allow me to edit an item",""
"failed","Wed Mar 08 09:51:06 GMT 2023","Wed Mar 08 09:51:07 GMT 2023","971","webkit","demo-todo-app.spec.ts","Routing","","","should highlight the currently applied filter",""
"passed","Wed Mar 08 09:48:32 GMT 2023","Wed Mar 08 09:48:32 GMT 2023","511","chromium","demo-todo-app.spec.ts","Persistence","","","should persist its data",""
"failed","Wed Mar 08 09:49:57 GMT 2023","Wed Mar 08 09:49:58 GMT 2023","967","webkit","demo-todo-app.spec.ts","Item","","","should allow me to mark items as complete",""
"failed","Wed Mar 08 09:51:22 GMT 2023","Wed Mar 08 09:51:23 GMT 2023","972","webkit","github-search.test.ts","GitHub - Search Result","","","should verify ""We couldn’t find any repositories"" message, after entering invalid keyword",""
"passed","Wed Mar 08 09:48:59 GMT 2023","Wed Mar 08 09:49:00 GMT 2023","960","firefox","demo-todo-app.spec.ts","Item","","","should allow me to un-mark items as complete",""
"passed","Wed Mar 08 09:48:23 GMT 2023","Wed Mar 08 09:48:24 GMT 2023","344","chromium","demo-todo-app.spec.ts","New Todo","","","should clear text input field when an item is added",""
"failed","Wed Mar 08 09:50:10 GMT 2023","Wed Mar 08 09:50:11 GMT 2023","973","webkit","demo-todo-app.spec.ts","Editing","","","should hide other controls when editing",""
"failed","Wed Mar 08 09:50:26 GMT 2023","Wed Mar 08 09:50:27 GMT 2023","960","webkit","demo-todo-app.spec.ts","Editing","","","should cancel edits on escape",""
"passed","Wed Mar 08 09:48:30 GMT 2023","Wed Mar 08 09:48:31 GMT 2023","434","chromium","demo-todo-app.spec.ts","Clear completed button","","","should display the correct text",""
"failed","Wed Mar 08 09:50:34 GMT 2023","Wed Mar 08 09:50:35 GMT 2023","966","webkit","demo-todo-app.spec.ts","Clear completed button","","","should display the correct text",""
"passed","Wed Mar 08 09:48:30 GMT 2023","Wed Mar 08 09:48:30 GMT 2023","397","chromium","demo-todo-app.spec.ts","Counter","","","should display the current number of todo items",""
"passed","Wed Mar 08 09:49:05 GMT 2023","Wed Mar 08 09:49:06 GMT 2023","843","firefox","demo-todo-app.spec.ts","Counter","","","should display the current number of todo items",""
"failed","Wed Mar 08 09:49:37 GMT 2023","Wed Mar 08 09:49:38 GMT 2023","967","webkit","demo-todo-app.spec.ts","New Todo","","","should clear text input field when an item is added",""
"passed","Wed Mar 08 09:48:56 GMT 2023","Wed Mar 08 09:48:57 GMT 2023","724","firefox","demo-todo-app.spec.ts","Mark all as completed","","","should allow me to mark all items as completed",""
"passed","Wed Mar 08 09:49:13 GMT 2023","Wed Mar 08 09:49:14 GMT 2023","784","firefox","demo-todo-app.spec.ts","Routing","","","should highlight the currently applied filter",""
