"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 08 09:13:09 GMT 2023","Wed Mar 08 09:13:11 GMT 2023","2163","firefox","github-search.test.ts","GitHub - Search Result","","","should verify search result with valid repository name",""
"passed","Wed Mar 08 09:12:49 GMT 2023","Wed Mar 08 09:12:50 GMT 2023","1059","chromium","example.spec.ts","","","","has title",""
"failed","Wed Mar 08 09:13:47 GMT 2023","Wed Mar 08 09:13:51 GMT 2023","4272","firefox","github-search.test.ts","GitHub - Search Result","","","should verify ""We couldn’t find any repositories"" message, after entering invalid keyword",""
"failed","Wed Mar 08 09:14:00 GMT 2023","Wed Mar 08 09:14:01 GMT 2023","1155","webkit","example.spec.ts","","","","get started link",""
"failed","Wed Mar 08 09:14:09 GMT 2023","Wed Mar 08 09:14:10 GMT 2023","1154","webkit","github-search.test.ts","GitHub - Search Result","","","should verify ""We couldn’t find any repositories"" message, after entering invalid keyword",""
"passed","Wed Mar 08 09:13:08 GMT 2023","Wed Mar 08 09:13:09 GMT 2023","1274","firefox","example.spec.ts","","","","get started link",""
"failed","Wed Mar 08 09:14:04 GMT 2023","Wed Mar 08 09:14:06 GMT 2023","1176","webkit","github-search.test.ts","GitHub - Search Result","","","should verify search result with valid repository name",""
"failed","Wed Mar 08 09:13:02 GMT 2023","Wed Mar 08 09:13:05 GMT 2023","2832","chromium","github-search.test.ts","GitHub - Search Result","","","should verify ""We couldn’t find any repositories"" message, after entering invalid keyword",""
"passed","Wed Mar 08 09:12:51 GMT 2023","Wed Mar 08 09:12:54 GMT 2023","3142","chromium","github-search.test.ts","GitHub - Search Result","","","should verify search result with valid repository name",""
"passed","Wed Mar 08 09:13:05 GMT 2023","Wed Mar 08 09:13:08 GMT 2023","2746","firefox","example.spec.ts","","","","has title",""
"passed","Wed Mar 08 09:12:50 GMT 2023","Wed Mar 08 09:12:51 GMT 2023","813","chromium","example.spec.ts","","","","get started link",""
"failed","Wed Mar 08 09:13:55 GMT 2023","Wed Mar 08 09:13:56 GMT 2023","1142","webkit","example.spec.ts","","","","has title",""
