"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 08 09:18:34 GMT 2023","Wed Mar 08 09:18:35 GMT 2023","489","chromium","demo-todo-app.spec.ts","Mark all as completed","","","should allow me to mark all items as completed",""
"passed","Wed Mar 08 09:19:12 GMT 2023","Wed Mar 08 09:19:13 GMT 2023","823","firefox","demo-todo-app.spec.ts","Clear completed button","","","should remove completed items when clicked",""
"passed","Wed Mar 08 09:19:14 GMT 2023","Wed Mar 08 09:19:15 GMT 2023","827","firefox","demo-todo-app.spec.ts","Persistence","","","should persist its data",""
"failed","Wed Mar 08 09:19:30 GMT 2023","Wed Mar 08 09:19:33 GMT 2023","3569","firefox","github-search.test.ts","GitHub - Search Result","","","should verify ""We couldn’t find any repositories"" message, after entering invalid keyword",""
"failed","Wed Mar 08 09:19:56 GMT 2023","Wed Mar 08 09:19:57 GMT 2023","931","webkit","demo-todo-app.spec.ts","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Wed Mar 08 09:19:11 GMT 2023","Wed Mar 08 09:19:11 GMT 2023","658","firefox","demo-todo-app.spec.ts","Counter","","","should display the current number of todo items",""
"passed","Wed Mar 08 09:18:38 GMT 2023","Wed Mar 08 09:18:38 GMT 2023","465","chromium","demo-todo-app.spec.ts","Editing","","","should save edits on blur",""
"passed","Wed Mar 08 09:19:02 GMT 2023","Wed Mar 08 09:19:02 GMT 2023","645","firefox","demo-todo-app.spec.ts","New Todo","","","should append new items to the bottom of the list",""
"passed","Wed Mar 08 09:18:42 GMT 2023","Wed Mar 08 09:18:42 GMT 2023","485","chromium","demo-todo-app.spec.ts","Routing","","","should allow me to display active items",""
"failed","Wed Mar 08 09:19:40 GMT 2023","Wed Mar 08 09:19:41 GMT 2023","924","webkit","demo-todo-app.spec.ts","New Todo","","","should clear text input field when an item is added",""
"passed","Wed Mar 08 09:18:45 GMT 2023","Wed Mar 08 09:18:45 GMT 2023","823","chromium","example.spec.ts","","","","has title",""
