"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 23 09:15:51 GMT 2023","Thu Mar 23 09:15:52 GMT 2023","766","firefox","demo-todo-app.spec.ts","Clear completed button","","","should be hidden when there are no items that are completed",""
"passed","Thu Mar 23 09:15:39 GMT 2023","Thu Mar 23 09:15:40 GMT 2023","687","firefox","demo-todo-app.spec.ts","New Todo","","","should append new items to the bottom of the list",""
"failed","Thu Mar 23 09:16:23 GMT 2023","Thu Mar 23 09:16:24 GMT 2023","911","webkit","demo-todo-app.spec.ts","New Todo","","","should append new items to the bottom of the list",""
"failed","Thu Mar 23 09:16:19 GMT 2023","Thu Mar 23 09:16:20 GMT 2023","925","webkit","demo-todo-app.spec.ts","New Todo","","","should clear text input field when an item is added",""
"failed","Thu Mar 23 09:17:36 GMT 2023","Thu Mar 23 09:17:37 GMT 2023","912","webkit","demo-todo-app.spec.ts","Routing","","","should allow me to display completed items",""
"passed","Thu Mar 23 09:15:53 GMT 2023","Thu Mar 23 09:15:53 GMT 2023","732","firefox","demo-todo-app.spec.ts","Routing","","","should allow me to display active items",""
"passed","Thu Mar 23 09:15:22 GMT 2023","Thu Mar 23 09:15:22 GMT 2023","496","chromium","demo-todo-app.spec.ts","Routing","","","should highlight the currently applied filter",""
"failed","Thu Mar 23 09:17:29 GMT 2023","Thu Mar 23 09:17:30 GMT 2023","919","webkit","demo-todo-app.spec.ts","Routing","","","should allow me to display active items",""
"passed","Thu Mar 23 09:15:56 GMT 2023","Thu Mar 23 09:15:57 GMT 2023","761","firefox","demo-todo-app.spec.ts","Routing","","","should highlight the currently applied filter",""
"passed","Thu Mar 23 09:15:21 GMT 2023","Thu Mar 23 09:15:21 GMT 2023","483","chromium","demo-todo-app.spec.ts","Routing","","","should allow me to display completed items",""
"passed","Thu Mar 23 09:15:18 GMT 2023","Thu Mar 23 09:15:19 GMT 2023","512","chromium","demo-todo-app.spec.ts","Clear completed button","","","should remove completed items when clicked",""
"passed","Thu Mar 23 09:15:50 GMT 2023","Thu Mar 23 09:15:51 GMT 2023","915","firefox","demo-todo-app.spec.ts","Clear completed button","","","should remove completed items when clicked",""
"passed","Thu Mar 23 09:15:11 GMT 2023","Thu Mar 23 09:15:11 GMT 2023","375","chromium","demo-todo-app.spec.ts","New Todo","","","should clear text input field when an item is added",""
"passed","Thu Mar 23 09:15:46 GMT 2023","Thu Mar 23 09:15:46 GMT 2023","815","firefox","demo-todo-app.spec.ts","Editing","","","should save edits on blur",""
"failed","Thu Mar 23 09:16:08 GMT 2023","Thu Mar 23 09:16:12 GMT 2023","3566","firefox","github-search.test.ts","GitHub - Search Result","","","should verify ""We couldn’t find any repositories"" message, after entering invalid keyword",""
"passed","Thu Mar 23 09:15:55 GMT 2023","Thu Mar 23 09:15:56 GMT 2023","1169","firefox","demo-todo-app.spec.ts","Routing","","","should allow me to display all items",""
"passed","Thu Mar 23 09:15:21 GMT 2023","Thu Mar 23 09:15:22 GMT 2023","564","chromium","demo-todo-app.spec.ts","Routing","","","should allow me to display all items",""
"passed","Thu Mar 23 09:15:41 GMT 2023","Thu Mar 23 09:15:41 GMT 2023","858","firefox","demo-todo-app.spec.ts","Mark all as completed","","","should allow me to clear the complete state of all items",""
"failed","Thu Mar 23 09:16:34 GMT 2023","Thu Mar 23 09:16:35 GMT 2023","933","webkit","demo-todo-app.spec.ts","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Thu Mar 23 09:15:40 GMT 2023","Thu Mar 23 09:15:41 GMT 2023","727","firefox","demo-todo-app.spec.ts","Mark all as completed","","","should allow me to mark all items as completed",""
"passed","Thu Mar 23 09:15:42 GMT 2023","Thu Mar 23 09:15:43 GMT 2023","732","firefox","demo-todo-app.spec.ts","Item","","","should allow me to mark items as complete",""
"passed","Thu Mar 23 09:15:20 GMT 2023","Thu Mar 23 09:15:20 GMT 2023","547","chromium","demo-todo-app.spec.ts","Routing","","","should allow me to display active items",""
"passed","Thu Mar 23 09:15:16 GMT 2023","Thu Mar 23 09:15:17 GMT 2023","494","chromium","demo-todo-app.spec.ts","Editing","","","should remove the item if an empty text string was entered",""
"passed","Thu Mar 23 09:15:16 GMT 2023","Thu Mar 23 09:15:16 GMT 2023","501","chromium","demo-todo-app.spec.ts","Editing","","","should trim entered text",""
"failed","Thu Mar 23 09:17:09 GMT 2023","Thu Mar 23 09:17:10 GMT 2023","918","webkit","demo-todo-app.spec.ts","Counter","","","should display the current number of todo items",""
"passed","Thu Mar 23 09:15:18 GMT 2023","Thu Mar 23 09:15:18 GMT 2023","436","chromium","demo-todo-app.spec.ts","Clear completed button","","","should display the correct text",""
"failed","Thu Mar 23 09:17:59 GMT 2023","Thu Mar 23 09:18:00 GMT 2023","934","webkit","github-search.test.ts","GitHub - Search Result","","","should verify ""We couldn’t find any repositories"" message, after entering invalid keyword",""
"failed","Thu Mar 23 09:17:02 GMT 2023","Thu Mar 23 09:17:02 GMT 2023","930","webkit","demo-todo-app.spec.ts","Editing","","","should remove the item if an empty text string was entered",""
"failed","Thu Mar 23 09:17:25 GMT 2023","Thu Mar 23 09:17:26 GMT 2023","925","webkit","demo-todo-app.spec.ts","Persistence","","","should persist its data",""
"passed","Thu Mar 23 09:15:47 GMT 2023","Thu Mar 23 09:15:48 GMT 2023","729","firefox","demo-todo-app.spec.ts","Editing","","","should remove the item if an empty text string was entered",""
"passed","Thu Mar 23 09:15:19 GMT 2023","Thu Mar 23 09:15:20 GMT 2023","513","chromium","demo-todo-app.spec.ts","Persistence","","","should persist its data",""
"passed","Thu Mar 23 09:15:57 GMT 2023","Thu Mar 23 09:15:58 GMT 2023","744","firefox","example.spec.ts","","","","has title",""
"failed","Thu Mar 23 09:17:17 GMT 2023","Thu Mar 23 09:17:18 GMT 2023","915","webkit","demo-todo-app.spec.ts","Clear completed button","","","should remove completed items when clicked",""
"failed","Thu Mar 23 09:16:31 GMT 2023","Thu Mar 23 09:16:31 GMT 2023","909","webkit","demo-todo-app.spec.ts","Mark all as completed","","","should allow me to clear the complete state of all items",""
"passed","Thu Mar 23 09:15:13 GMT 2023","Thu Mar 23 09:15:14 GMT 2023","480","chromium","demo-todo-app.spec.ts","Item","","","should allow me to mark items as complete",""
"passed","Thu Mar 23 09:15:12 GMT 2023","Thu Mar 23 09:15:12 GMT 2023","480","chromium","demo-todo-app.spec.ts","Mark all as completed","","","should allow me to mark all items as completed",""
"passed","Thu Mar 23 09:15:23 GMT 2023","Thu Mar 23 09:15:24 GMT 2023","734","chromium","example.spec.ts","","","","get started link",""
"failed","Thu Mar 23 09:17:56 GMT 2023","Thu Mar 23 09:17:56 GMT 2023","915","webkit","github-search.test.ts","GitHub - Search Result","","","should verify search result with valid repository name",""
"passed","Thu Mar 23 09:15:22 GMT 2023","Thu Mar 23 09:15:23 GMT 2023","603","chromium","example.spec.ts","","","","has title",""
"failed","Thu Mar 23 09:16:50 GMT 2023","Thu Mar 23 09:16:51 GMT 2023","914","webkit","demo-todo-app.spec.ts","Editing","","","should hide other controls when editing",""
"passed","Thu Mar 23 09:15:13 GMT 2023","Thu Mar 23 09:15:13 GMT 2023","568","chromium","demo-todo-app.spec.ts","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Thu Mar 23 09:15:11 GMT 2023","Thu Mar 23 09:15:12 GMT 2023","454","chromium","demo-todo-app.spec.ts","New Todo","","","should append new items to the bottom of the list",""
"passed","Thu Mar 23 09:15:41 GMT 2023","Thu Mar 23 09:15:42 GMT 2023","938","firefox","demo-todo-app.spec.ts","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"failed","Thu Mar 23 09:16:42 GMT 2023","Thu Mar 23 09:16:43 GMT 2023","921","webkit","demo-todo-app.spec.ts","Item","","","should allow me to un-mark items as complete",""
"failed","Thu Mar 23 09:16:27 GMT 2023","Thu Mar 23 09:16:28 GMT 2023","923","webkit","demo-todo-app.spec.ts","Mark all as completed","","","should allow me to mark all items as completed",""
"passed","Thu Mar 23 09:15:12 GMT 2023","Thu Mar 23 09:15:13 GMT 2023","513","chromium","demo-todo-app.spec.ts","Mark all as completed","","","should allow me to clear the complete state of all items",""
"passed","Thu Mar 23 09:15:58 GMT 2023","Thu Mar 23 09:15:59 GMT 2023","1034","firefox","example.spec.ts","","","","get started link",""
"passed","Thu Mar 23 09:15:10 GMT 2023","Thu Mar 23 09:15:11 GMT 2023","1272","chromium","demo-todo-app.spec.ts","New Todo","","","should allow me to add todo items",""
